,hour,minute,time_of_day,approved,denied,failed,processing,refunded,reversed,total,time_bin
2023-01-01 18:10:00,18,14,1094,0.6096904441453567,0.09286675639300135,0.0,0.02557200538358008,0.006729475100942127,0.2489905787348587,743.0,5
2023-01-01 18:20:00,18,24,1104,0.5819112627986348,0.11092150170648464,0.0,0.007679180887372013,0.011945392491467578,0.25341296928327645,1172.0,5
2023-01-01 18:25:00,18,29,1109,0.42016806722689076,0.13445378151260504,0.0,0.04201680672268908,0.008403361344537815,0.29411764705882354,119.0,5
2023-01-01 18:30:00,18,34,1114,0.9166666666666666,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,24.0,5
2023-01-01 18:35:00,18,39,1119,0.7769827072152653,0.08586762075134168,0.0,0.0,0.007751937984496124,0.12641621943947526,1677.0,5
2023-01-01 18:40:00,18,44,1124,0.8051201671891327,0.13897596656217345,0.0,0.0,0.008881922675026124,0.03918495297805643,1914.0,5
2023-01-01 18:45:00,18,49,1129,0.8622189992748368,0.12400290065264685,0.0,0.0,0.0029006526468455403,0.010877447425670777,1379.0,5
2023-01-01 18:50:00,18,54,1134,0.869894099848714,0.10968229954614221,0.0,0.0,0.0045385779122541605,0.015128593040847202,1322.0,5
2023-01-01 19:00:00,19,4,1144,0.8633791430881164,0.11802748585286985,0.0,0.0008084074373484236,0.005658852061438965,0.012126111560226353,1237.0,5
2023-01-01 19:05:00,19,9,1149,0.8663865546218488,0.12184873949579832,0.0,0.0,0.0016806722689075631,0.010084033613445379,1190.0,5
2023-01-01 19:10:00,19,14,1154,0.8751139471285324,0.11394712853236098,0.0,0.0,0.0036463081130355514,0.007292616226071103,1097.0,5
2023-01-01 19:15:00,19,19,1159,0.8795518207282913,0.1092436974789916,0.0,0.0,0.0009337068160597573,0.009337068160597572,1071.0,5
2023-01-01 19:20:00,19,24,1164,0.8756319514661274,0.10616784630940344,0.0,0.0,0.006066734074823054,0.012133468149646108,989.0,5
2023-01-01 19:25:00,19,29,1169,0.8668668668668669,0.1091091091091091,0.0,0.0,0.004004004004004004,0.018018018018018018,999.0,5
2023-01-01 19:30:00,19,34,1174,0.8666666666666667,0.11764705882352941,0.0,0.000980392156862745,0.00196078431372549,0.012745098039215686,1020.0,5
2023-01-01 19:35:00,19,39,1179,0.8776328986960883,0.10431293881644935,0.0,0.0,0.003009027081243731,0.013039117352056168,997.0,5
2023-01-01 19:40:00,19,44,1184,0.8710801393728222,0.11498257839721254,0.0,0.0,0.0011614401858304297,0.012775842044134728,861.0,5
2023-01-01 19:45:00,19,49,1189,0.888135593220339,0.1016949152542373,0.0,0.0,0.003389830508474576,0.006779661016949152,885.0,5
2023-01-01 19:50:00,19,54,1194,0.8793103448275862,0.11206896551724138,0.0,0.0,0.0021551724137931034,0.004310344827586207,928.0,5
2023-01-01 19:55:00,19,59,1199,0.896,0.09485714285714286,0.0,0.0,0.0034285714285714284,0.005714285714285714,875.0,5
2023-01-01 20:20:00,20,24,1224,0.8727959697732998,0.10831234256926953,0.0,0.0,0.003778337531486146,0.015113350125944584,794.0,6
2023-01-01 20:25:00,20,29,1229,0.859375,0.12890625,0.0,0.0013020833333333333,0.00390625,0.006510416666666667,768.0,6
2023-01-01 20:30:00,20,34,1234,0.8683886838868389,0.11562115621156212,0.0,0.0,0.0024600246002460025,0.012300123001230012,813.0,6
2023-01-01 20:35:00,20,39,1239,0.871927554980595,0.11642949547218628,0.0,0.0,0.00129366106080207,0.009055627425614488,773.0,6
2023-01-01 20:40:00,20,44,1244,0.8828025477707007,0.10828025477707007,0.0,0.0,0.0025477707006369425,0.006369426751592357,785.0,6
2023-01-01 20:45:00,20,49,1249,0.8691099476439791,0.11125654450261781,0.0,0.0,0.002617801047120419,0.014397905759162303,764.0,6
